Año,Semana,No. Casos,Temperatura,Precipitacion,H. Relativa,No. Busquedas
2010,150,12,20.88571429,15.21428571,79.71428571,8
2010,151,7,20.7,10.61428571,78.14285714,16
2010,152,3,21.1,7.285714286,77.14285714,8
2010,153,5,20.67142857,6.7,80.71428571,0
2010,154,2,21.34285714,3.057142857,77.57142857,9
2010,155,1,21,9.257142857,77.71428571,12
2010,156,1,20.5,4.4,75.28571429,0
2010,157,2,21.18333333,7.075,75,4
2011,158,9,21.18333333,7.075,72,4
2011,159,6,21.86666667,9.75,72.33333333,3
2011,160,10,22.04285714,0,71.16666667,13
2011,161,1,21.64285714,4.5,69.42857143,18
2011,162,2,22.72857143,0,67.14285714,6
2011,163,2,20.74285714,8.071428571,75.71428571,14
2011,164,3,21.4,13.25714286,74,6
2011,165,2,21.1,3.371428571,73.28571429,0
2011,166,2,20.6,2,75.14285714,8
2011,167,5,20.92857143,6.028571429,73.42857143,9
2011,168,2,21.78571429,3.428571429,72.33333333,12
2011,169,1,21.34285714,7.885714286,78.83333333,3
2011,170,3,23.57142857,0.042857143,71.16666667,3
2011,171,7,21.7,6.771428571,79,3
2011,172,5,20.15714286,13.94285714,83.66666667,0
2011,173,2,20.31428571,19.77142857,80.85714286,3
2011,174,4,21.71428571,19.12857143,77.28571429,3
2011,175,2,22.42857143,0.914285714,80.28571429,16
2011,176,3,22.44285714,9.214285714,78.57142857,5
2011,177,2,21.4,11.42857143,75.85714286,5
2011,178,1,21.7,7.428571429,80.8,8
2011,179,1,21.45714286,12.82857143,79.8,3
2011,180,2,23.27142857,3.185714286,71.57142857,3
2011,181,2,23.5,3.242857143,69,9
2011,182,0,22.05714286,13.37142857,77.14285714,10
2011,183,0,22.32857143,6.157142857,73.57142857,0
2011,184,2,22.81428571,0.657142857,69.71428571,8
2011,185,2,21.62857143,10.47142857,75,8
2011,186,3,23.45714286,4.114285714,67.42857143,8
2011,187,1,22.61428571,4.685714286,71.28571429,8
2011,188,6,21.94285714,9.114285714,72.14285714,10
2011,189,1,23.35714286,1.314285714,64.57142857,5
2011,190,9,21.8,8.871428571,73.85714286,5
2011,191,8,22.41428571,5.342857143,72.14285714,15
2011,192,3,23.4,0.057142857,62.85714286,10
2011,193,3,21.95714286,8.6,71.71428571,15
2011,194,2,21.95714286,7.971428571,71.85714286,13
2011,195,2,22.08571429,8.285714286,74.57142857,15
2011,196,2,23,3.642857143,71.14285714,7
2011,197,8,21.48571429,12.87142857,78,7
2011,198,6,21.12857143,8.942857143,77.71428571,10
2011,199,3,20.24285714,6.385714286,74.71428571,9
2011,200,3,21.1,5.271428571,78,5
2011,201,6,21.71428571,3.385714286,76.57142857,8
2011,202,2,20.78571429,2.585714286,80,3
2011,203,1,20.24285714,12.87142857,80.85714286,3
2011,204,2,20.8,9.328571429,79,0
2011,205,0,21.1,1.885714286,76.57142857,3
2011,206,3,20.91428571,11.5,79.28571429,0
2011,207,1,21.32857143,6.4,77.42857143,6
2011,208,6,21.97142857,2.9,76.28571429,13
2011,209,0,21.77142857,0.5,79.28571429,6
2012,210,1,21.6,2.585714286,76.42857143,6
2012,211,6,22.47142857,0.757142857,71,2
2012,212,3,20.77142857,3.585714286,76.14285714,5
2012,213,3,21.5,0.128571429,71.42857143,18
2012,214,2,22.41428571,1.342857143,70.66666667,11
2012,215,1,22.07142857,2.657142857,73.16666667,7
2012,216,3,22.28571429,0,65.28571429,20
2012,217,2,22.94285714,0.085714286,62.14285714,7
2012,218,1,23.05714286,2.3,64.28571429,4
2012,219,3,21.72857143,2.7,72.71428571,13
2012,220,3,22.82857143,1.571428571,68.85714286,2
2012,221,0,20.92857143,5.628571429,76.85714286,4
2012,222,1,22.52857143,0.957142857,72.57142857,11
2012,223,2,21.67142857,5.628571429,76.71428571,7
2012,224,1,20.51428571,12.2,78.42857143,11
2012,225,1,21.08571429,8.328571429,76.71428571,4
2012,226,10,22.27142857,10.24285714,74.28571429,9
2012,227,4,21.34285714,17.61428571,78,9
2012,228,2,21.38571429,5.957142857,79.71428571,9
2012,229,1,22.8,1.585714286,73.57142857,9
2012,230,2,22.37142857,5.942857143,77.14285714,6
2012,231,1,23.41428571,0.1,65.42857143,2
2012,232,2,24.02857143,0.385714286,65.57142857,2
2012,233,2,22.74285714,3.2,71.42857143,2
2012,234,3,22.62857143,3.4,69.28571429,7
2012,235,3,22.78571429,4.2,67.57142857,2
2012,236,2,23.12857143,2.685714286,66.71428571,7
2012,237,3,22.75714286,3.414285714,65,9
2012,238,5,24.02857143,0,60.57142857,2
2012,239,3,24,0.428571429,56.42857143,21
2012,240,3,22.94285714,2.042857143,68.71428571,9
2012,241,9,22.85714286,3.6,68.28571429,4
2012,242,4,22.55714286,5.114285714,69.14285714,4
2012,243,4,21.62857143,9.314285714,76.28571429,10
2012,244,10,23.31428571,0.2,58.28571429,14
2012,245,9,24.02857143,0.357142857,59.28571429,8
2012,246,15,23.72857143,1.528571429,56.71428571,8
2012,247,7,23.37142857,2.1,65.71428571,4
2012,248,9,22.45714286,1.885714286,69,8
2012,249,7,22.5,2.585714286,69.42857143,6
2012,250,5,22.07142857,6.871428571,71.16666667,10
2012,251,2,20.82857143,10.51428571,67.14285714,12
2012,252,4,22.01428571,10.24285714,61.42857143,8
2012,253,2,22.17142857,2.328571429,74.42857143,6
2012,254,3,22.54285714,1.842857143,72.28571429,9
2012,255,7,21.45714286,10.27142857,78.42857143,4
2012,256,7,21.4,2.528571429,80,4
2012,257,11,22.2,7.542857143,74.14285714,5
2012,258,4,21.87142857,1.528571429,73.28571429,7
2012,259,6,22.38571429,0.114285714,70.57142857,0
2012,260,3,22.17142857,0.314285714,70.33333333,0
2012,261,6,22.77142857,0,70.85714286,6
